label,claim
barely-true,Women in the U.S. get 23 percent less pay than men for the same exact work.
half-true,Seven out of the 10 states with the lowest unemployment rates (have) Republican governors That approach that Republicans are using is working.
pants-fire,The health care reform bill would make it mandatory absolutely require that every five years people in Medicare have a required counseling session that will tell them how to end their life sooner.
false,There is a precedent for not nominating someone to the U.S. Supreme Court in the middle of a presidential election.
barely-true,"Franklin Roosevelt never allocated more than 12 percent of GDP to federal spending, while the percentage for Barack Obama is not projected to drop below 22.8 percent."
barely-true,"So far in 2015, there have been more mass shootings than days."
mostly-true,"Oregon concealed gun applications include home phone numbers, home address, Social Security numbers, what kinds of guns you have in the house whether you were dishonorably discharged from the military, what controlled substances you are taking and were you ever accused of -- accused, mind you -- of stalking."
false,Says Barack Obama supported Ted Kennedys ammo ban to outlaw all deer-hunting ammunition.
true,Cobb is one of the largest school systems (in the nation) that is debt free.
mostly-true,The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress.
true,"From 2008 to 2011, the pages in the conforming bills have gone from 400 pages to 2,200."
false,"Wisconsins economy has tanked under Gov. Scott Walker andso far in 2015 over 6,685 people have been laid off, already more than in all of 2014."
true,"In fact, theres more state funding for education today than any other time."
half-true,People committed involuntarily for 72 hours under the Baker Act will get their guns back automatically and immediately upon discharge....and their commitment is never entered into a background check database.
barely-true,"The U.S. Army had a training program that put evangelical Christians, Catholics and Mormons in the same category of religious extremism as we do al-Qaida."
pants-fire,The Constitution simply does not authorize the federal government to own any of this land (in the Western states).
half-true,"Says President Barack Obamasown administration has done five environmental impact assessments of the Keystone XL pipeline, all of which have said it would have a minimum impact on the environment."
mostly-true,Americans havent had a raise in 15 years.
mostly-true,"Between the year 2000 and 2006, (insurance) premiums in this country doubled."
pants-fire,This (Independent Payment Advisory Board) board can ration care and deny certain Medicare treatments so Washington can fund more wasteful spending.
barely-true,"Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain"
true,Science is very certain that the measles vaccine doesnt cause autism.
pants-fire,"Because the EPA closed a lead smelter in Missouri, all lead for bullets will have to come from overseas!"
true,I am a candidate. I have not withdrawn.
mostly-true,The actual (construction) contracts that weve awarded to date have come in several hundred million dollars below estimates.
false,You cant put a gun rack in a [Chevrolet] Volt.
mostly-true,Slot machines in Miami-Dade and Broward counties have generated 20 percent of the promised $500 million per year for schools.
mostly-true,"In Atlanta, since 1994 when the Seven Deadly Sins (mandatory minimum sentences) took effect, the violent crime rate has dropped 62 percent."
barely-true,Ted Cruz tried to ban contraception five times.
half-true,On in-state tuition for unauthorized immigrants.
barely-true,"Because of the new health care law, 17 million kids can no longer be denied for a pre-existing condition."
mostly-true,Sen. Marco Rubio refuses to accept the basic science on climate change and is a climate change denier.
false,"Economic inequality in Multnomah County has a face -- and a name. It has 90,000 faces and names -- the number of county residents who are still unemployed, or underemployed, in the wake of the 2008 Wall Street crash."
